province;population;area;earnings
Buenos Aires;17569053;307571;244345
Catamarca;429556;102602;186419
Chaco;1142963;99633;186228
Chubut;603120;224686;368289
Ciudad Autónoma de Buenos Aires;3120612;203;323670
Corrientes;1197553;88199;179803
Córdoba;3978984;165321;224244
Entre Ríos;1426426;78781;203392
Formosa;604278;72066;194757
Jujuy;797955;53219;153811
La Pampa;366022;143440;254007
La Rioja;384607;89680;146527
Mendoza;2014533;148827;193043
Misiones;1280960;29081;211361
Neuquén;726663;94078;391426
Río Negro;762067;203013;252666
Salta;1440672;155488;241973
San Juan;818234;89651;238846
San Luis;540905;76748;218375
Santa Cruz;333473;243943;477488
Santa Fe;3556552;133007;246073
Santiago del Estero;1054028;136351;170466
Tierra del Fuegoc Antártida e Islas del Atlántico Sur;190641;21571;336948
Tucumán;1703186;22524;152862